date,home_team,away_team,home_score,away_score,actual_outcome,predicted_outcome,correct,home_win_prob,draw_prob,away_win_prob,actual_outcome_prob,brier_score,log_loss,home_fair_odds,draw_fair_odds,away_fair_odds
2022-11-20,Qatar,Ecuador,0,2,away_win,home_win,False,0.40936419346960495,0.28345250046393305,0.3071833060664619,0.3071833060664619,0.7279193343072738,1.180310621416782,2.4428125760692585,3.527927953936824,3.255385238231797
2022-11-21,United States,Wales,1,1,draw,home_win,False,0.43888931612853144,0.26997803942104687,0.2911326444504218,0.26997803942104687,0.8103141114040042,1.3094146587692759,2.278478794656154,3.7040049707170453,3.434860428955758
2022-11-21,England,Iran,6,2,home_win,home_win,True,0.3949002589743792,0.28020464485846136,0.3248950961671595,0.3949002589743792,0.5502171631029976,0.929122054892384,2.5322849941835037,3.5688202117603223,3.077916569985707
2022-11-21,Senegal,Netherlands,0,2,away_win,away_win,True,0.14118831319628078,0.21406204410637591,0.6447496426973434,0.6447496426973434,0.1919595148738763,0.43889318839323915,7.082739196761947,4.67154279580298,1.5509896148471654
2022-11-22,Argentina,Saudi Arabia,1,2,away_win,home_win,False,0.8022282777379355,0.13914162039338357,0.05863010186868096,0.05863010186868096,1.5491078852358404,2.8365070305236246,1.2465279867966343,7.186922196053078,17.0560849824172
2022-11-22,Mexico,Poland,0,0,draw,home_win,False,0.4105518625852749,0.26615881589582846,0.32328932151889656,0.26615881589582846,0.8115917007677995,1.3236620961252576,2.4357458609563416,3.757155278265848,3.093204549107104
2022-11-22,Denmark,Tunisia,0,0,draw,home_win,False,0.4741192105760035,0.2654683563248308,0.26041243309916595,0.2654683563248308,0.832140396709986,1.3262596306204757,2.1091741859291218,3.7669273047985654,3.8400624275078163
2022-11-22,France,Australia,4,1,home_win,home_win,True,0.5501068968281017,0.2477482945772843,0.20214480859461403,0.5501068968281017,0.30464554538934635,0.5976426617713885,1.8178285089061186,4.036354727309952,4.946948709454238
2022-11-23,Germany,Japan,1,2,away_win,away_win,True,0.36486126291073084,0.25735167267683884,0.3777870644124305,0.3777870644124305,0.5865025618148811,0.9734245637480443,2.740767797661946,3.8857334385998654,2.646993754419021
2022-11-23,Spain,Costa Rica,7,0,home_win,home_win,True,0.5455348252491279,0.2507277029922121,0.20373747175865997,0.5455348252491279,0.3109119335077024,0.6059886347767726,1.8330635437312965,3.9883905450649833,4.908277261752633
2022-11-23,Morocco,Croatia,0,0,draw,away_win,False,0.3085230730953979,0.27850531603130874,0.41297161087329326,0.27850531603130874,0.7862866170145927,1.2783181317132797,3.241248668914923,3.5905957352985785,2.4214739552807107
2022-11-23,Belgium,Canada,1,0,home_win,home_win,True,0.5296493876377866,0.24463796768733356,0.22571264467487995,0.5296493876377866,0.33202363174982663,0.6355400241042075,1.8880414541022257,4.087672937497904,4.430411957825473
2022-11-24,Brazil,Serbia,2,0,home_win,home_win,True,0.6885833643514954,0.19929240527490108,0.11212423037360365,0.6885833643514954,0.14926962679576186,0.37311888702260954,1.4522569840788928,5.017752676629169,8.918678832112818
2022-11-24,Switzerland,Cameroon,1,0,home_win,home_win,True,0.5313431842745955,0.2541243887975545,0.21453242692784974,0.5313431842745955,0.33024257811115965,0.6323471684319342,1.8820228236581746,3.935080787529761,4.661299992361127
2022-11-24,Portugal,Ghana,3,2,home_win,home_win,True,0.7124282337677865,0.18463339872867368,0.10293836750353982,0.7124282337677865,0.12738332016431006,0.3390760964488282,1.403650153940904,5.416138179146779,9.714550796287032
2022-11-24,Uruguay,South Korea,0,0,draw,home_win,False,0.47209252650101163,0.2723640891401862,0.2555433843588022,0.2723640891401862,0.8176277936404499,1.300615544747567,2.118228829868708,3.6715559791926107,3.9132298513974617
2022-11-25,Qatar,Senegal,1,3,away_win,home_win,False,0.4540187253513084,0.27912221635129847,0.26685905829739326,0.26685905829739326,0.8215378550310728,1.3210346315004649,2.2025523269469227,3.582660001314324,3.7472964432242706
2022-11-25,Netherlands,Ecuador,1,1,draw,home_win,False,0.5642554133792107,0.24325996996347435,0.19248461665731487,0.24325996996347435,0.9280899722371393,1.4136245722668426,1.7722470645185373,4.110828428327729,5.195220362883984
2022-11-25,Wales,Iran,0,2,away_win,away_win,True,0.24843198713758927,0.2697361400674096,0.48183187279500106,0.48183187279500106,0.4029742455427325,0.7301600374090916,4.0252465534809305,3.7073267221444284,2.0754127247731025
2022-11-25,England,United States,0,0,draw,home_win,False,0.4693810913770853,0.26679491721064136,0.2638239914122732,0.26679491721064136,0.8275114008151971,1.3212750160567674,2.130465028035467,3.7481973436940503,3.79040584841019
2022-11-26,France,Denmark,2,1,home_win,home_win,True,0.38722260120873986,0.2752941478858283,0.3374832509054318,0.38722260120873986,0.5651779529712659,0.9487555543928887,2.58249388563177,3.6324782334811063,2.9631100130661476
2022-11-26,Poland,Saudi Arabia,2,0,home_win,home_win,True,0.41253123942871506,0.27202156525856036,0.3154471953127247,0.41253123942871506,0.5186222096435432,0.8854433441265205,2.4240588455430148,3.6761791259067484,3.17010268234793
2022-11-26,Argentina,Mexico,2,0,home_win,home_win,True,0.7193940522622446,0.18128392281461744,0.09932202492313794,0.7193940522622446,0.12146842321169252,0.3293460153913702,1.390058754107498,5.51620896367412,10.068260295476932
2022-11-26,Tunisia,Australia,0,1,away_win,home_win,False,0.3771338467255893,0.27339255703371623,0.3494735962406943,0.3494735962406943,0.6401580305754893,1.0513272673990346,2.6515785010609814,3.6577440543733406,2.861446503418433
2022-11-27,Japan,Costa Rica,0,1,away_win,home_win,False,0.3898666746052904,0.2721403245942086,0.337993000800501,0.337993000800501,0.6643096472271541,1.084730091404351,2.5649794279350036,3.6745748778359504,2.958641148282967
2022-11-27,Croatia,Canada,4,1,home_win,home_win,True,0.39937172843812657,0.27437954314001084,0.32624872842186253,0.39937172843812657,0.5424766870900067,0.9178626455881114,2.503932874544791,3.6445865772497417,3.0651460461998483
2022-11-27,Belgium,Morocco,0,2,away_win,home_win,False,0.5203859264367755,0.25561737233268383,0.22399670123054052,0.22399670123054052,0.93832287317281,1.496123953884908,1.9216507388031667,3.912097174281678,4.46435145922433
2022-11-27,Spain,Germany,1,1,draw,home_win,False,0.4726502398751877,0.25785570003861485,0.2694940600861974,0.25785570003861485,0.8468034596409899,1.3553551527042376,2.11572938218347,3.8781380432941615,3.7106569238674534
2022-11-28,Brazil,Switzerland,1,0,home_win,home_win,True,0.6984789689290996,0.19442953613040423,0.10709149494049613,0.6984789689290996,0.14018636498653342,0.3588502096444879,1.4316823333037345,5.143251482785508,9.337809697732165
2022-11-28,South Korea,Ghana,2,3,away_win,home_win,False,0.6327434391747768,0.22422282244562505,0.1430337383795982,0.1430337383795982,1.1850313074798537,1.9446747438255152,1.5804193897359073,4.45984931013213,6.991357502983619
2022-11-28,Portugal,Uruguay,2,0,home_win,away_win,False,0.35653419751496457,0.26909400018492535,0.3743718023001101,0.35653419751496457,0.626614066260668,1.0313251180201874,2.8047800378476393,3.7161735278853683,2.6711413462661473
2022-11-28,Cameroon,Serbia,3,3,draw,away_win,False,0.1791186677437332,0.23781227891249976,0.583069053343767,0.23781227891249976,0.9529831402780435,1.4362736605980502,5.5828910107276455,4.20499733896389,1.7150627258730846
2022-11-29,Wales,England,0,3,away_win,away_win,True,0.20167276638554765,0.25053230970443224,0.5477949239100202,0.5477949239100202,0.30792777374898167,0.6018542885158799,4.9585277076442305,3.9915011408299352,1.8255006688675675
2022-11-29,Iran,United States,0,1,away_win,home_win,False,0.4526948977711365,0.27137102798945223,0.2759340742394112,0.2759340742394112,0.8028463701476103,1.2875933032483358,2.2089933085695126,3.6849917524683895,3.6240540526080913
2022-11-29,Ecuador,Senegal,1,2,away_win,home_win,False,0.46536048273903535,0.26440491083756346,0.27023460642340125,0.27023460642340125,0.819027865432136,1.308464784590584,2.1488717609070807,3.782078013726257,3.7004883024981954
2022-11-29,Qatar,Netherlands,0,2,away_win,away_win,True,0.22271675390271783,0.258973670475402,0.5183095756218803,0.5183095756218803,0.3486957794060389,0.6571825789004521,4.490007969659964,3.8613964043691564,1.9293488815061461
2022-11-30,Australia,Denmark,1,0,home_win,away_win,False,0.29316157877139704,0.2504247843076236,0.45641363692097947,0.29316157877139704,0.7706465342878994,1.2270313585815147,3.411088193039733,3.993214979758524,2.1909950078313143
2022-11-30,Tunisia,France,1,0,home_win,away_win,False,0.2011214647469381,0.2521001417737307,0.5467783934793311,0.2011214647469381,1.000728007146251,1.6038462512165508,4.972119715109742,3.966677658188457,1.828894506303862
2022-11-30,Poland,Argentina,0,2,away_win,away_win,True,0.06589111892980683,0.13332537690369575,0.8007835041664972,0.8007835041664972,0.0618045078925145,0.22216465038597827,15.176552109629377,7.500447575875409,1.2487769725487279
2022-11-30,Saudi Arabia,Mexico,1,2,away_win,away_win,True,0.27658406037484884,0.26180764883517715,0.461608290789974,0.461608290789974,0.43490761998813465,0.7730386029660645,3.6155373474694095,3.819598107424115,2.166338906713847
2022-12-01,Japan,Spain,2,1,home_win,away_win,False,0.24391911513767792,0.25795453307948807,0.498126351782834,0.24391911513767792,0.8863287079309243,1.4109186039830457,4.099719693700755,3.8766521683565545,2.0075227829664506
2022-12-01,Costa Rica,Germany,2,4,away_win,away_win,True,0.3118125801819913,0.2623691766723904,0.4258182431456183,0.4258182431456183,0.495749359931883,0.8537426830403222,3.2070546974607113,3.8114233260283426,2.3484198154892746
2022-12-01,Croatia,Belgium,0,0,draw,away_win,False,0.25718749843413424,0.2638687260307028,0.47894377553516304,0.2638687260307028,0.8374218019903448,1.332303549389244,3.88821387543493,3.7897632472127203,2.087927750773289
2022-12-01,Canada,Morocco,1,2,away_win,home_win,False,0.37838635186432534,0.2908380070856081,0.3307756410500665,0.3307756410500665,0.6756242202546707,1.1063149550310025,2.6428014516722347,3.4383401606298665,3.0231972246367413
2022-12-02,South Korea,Portugal,2,1,home_win,away_win,False,0.30902892301179496,0.2784008032565375,0.41257027373166766,0.30902892301179496,0.7251622672551485,1.1743204044848645,3.23594306401486,3.591943659295163,2.423829499287658
2022-12-02,Ghana,Uruguay,0,2,away_win,away_win,True,0.11015522375040136,0.17656399005158516,0.7132807861980137,0.7132807861980137,0.12551692346566637,0.3378801265560826,9.078098758765005,5.663669017152585,1.4019724340680477
2022-12-02,Serbia,Switzerland,2,3,away_win,away_win,True,0.3495253228939387,0.2700252860645572,0.38044939104150416,0.38044939104150416,0.5789245635192011,0.9664021169877646,2.8610230346699197,3.7033568765886673,2.6284704971203583
2022-12-02,Cameroon,Brazil,1,0,home_win,away_win,False,0.024340586472957136,0.072512094471155,0.9031473190558881,0.024340586472957136,1.7728443749663652,3.715610096686038,41.083644435232465,13.790802862518275,1.1072390726303185
2022-12-03,Argentina,Australia,2,1,home_win,home_win,True,0.7545034152119235,0.1635533693087256,0.08194321547935077,0.7545034152119235,0.09373296831794092,0.2816954743273227,1.325375047797659,6.114212163446087,12.203572854082037
2022-12-03,Netherlands,United States,3,1,home_win,home_win,True,0.5607872820638162,0.24307843817128602,0.19613427976489778,0.5607872820638162,0.29046359439957664,0.5784136217218065,1.7832073443602139,4.113898408773495,5.09854779694136
2022-12-04,France,Poland,3,1,home_win,home_win,True,0.5401677671221541,0.24827369478522615,0.21155853809261976,0.5401677671221541,0.3178425249556196,0.615875507818969,1.8512766974743589,4.027812937915428,4.726824116936385
2022-12-04,England,Senegal,3,0,home_win,home_win,True,0.5195454261375095,0.25867549959857883,0.2217790742639115,0.5195454261375095,0.34693556941931925,0.6548010302300574,1.9247595103172503,3.8658473707476473,4.508991677050763
2022-12-05,Japan,Croatia,1,1,draw,away_win,False,0.3376756351519754,0.2714946347168424,0.3908297301311822,0.2714946347168424,0.7974927797760497,1.303812901435667,2.9614218377051005,3.6833140405995812,2.5586589834513087
2022-12-05,Brazil,South Korea,4,1,home_win,home_win,True,0.722831942443837,0.18620322748659396,0.0909648300695689,0.722831942443837,0.1197683743654663,0.32457852859548697,1.3834474395515506,5.370476191514977,10.993259694270973
2022-12-06,Portugal,Switzerland,6,1,home_win,home_win,True,0.4321989858686707,0.2703835443700778,0.2974174697612516,0.4321989858686707,0.48396240403387675,0.8388691813520147,2.3137490662781492,3.698449927231096,3.3622772757859125
2022-12-06,Morocco,Spain,0,0,draw,away_win,False,0.2213736706855713,0.2604658979326368,0.5181604313817918,0.2604658979326368,0.8644072228431494,1.3452833364056431,4.51724903374057,3.839274192656982,1.9299042139000737
2022-12-09,Croatia,Brazil,1,1,draw,away_win,False,0.07785490452214042,0.15366787180129857,0.768477223676561,0.15366787180129857,1.31289670068913,1.872961682159631,12.844405964374658,6.507541155336997,1.301274740734389
2022-12-09,Netherlands,Argentina,2,2,draw,away_win,False,0.1931551300074705,0.2373563162443941,0.5694885537481355,0.2373563162443941,0.9432515054706665,1.4381928228183758,5.177185819301428,4.213075159838381,1.7559615437718954
